word,node-label,new-val
(คอร์รัปชั่น - VERB),neg,-1.0
(แสน - ADJ),neg,-0.9993569131832798
(เปียก - VERB),neg,-0.9987138263665595
(ปลายทาง - VERB),neg,-0.9980707395498393
(คาลิม - VERB),neg,-0.997427652733119
(คาดเดา - VERB),neg,-0.9967845659163987
(เหม็นเหม็น - VERB),neg,-0.9961414790996784
(กุ้งก้ามกราม - VERB),neg,-0.9954983922829582
(กาลเวลา - VERB),neg,-0.9948553054662379
(โกรธ - ADJ),neg,-0.9942122186495177
(ข้าวของ - VERB),neg,-0.9935691318327974
(ลำลอง - ADJ),neg,-0.9929260450160772
(พัฒน์พงษ์ สวรรค์ - ADV),neg,-0.992282958199357
(กูตา - VERB),neg,-0.9916398713826367
(พิสูจน์ - VERB),neg,-0.9909967845659164
(ลาง - ADV),neg,-0.9903536977491961
(งดงาม - ADV),neg,-0.9897106109324759
(คาดเข็มขัดสิ่ว - VERB),neg,-0.9890675241157556
(กลอเรีย - VERB),neg,-0.9884244372990354
(ขู่ - VERB),neg,-0.9877813504823151
(เจริญเติบโต - VERB),neg,-0.9871382636655949
(บูชา - VERB),neg,-0.9864951768488746
(ย้าย - ADJ),neg,-0.9858520900321543
(ไฮซี - VERB),neg,-0.985209003215434
(แบน - VERB),neg,-0.9845659163987138
(เนปาลพม่า - ADJ),neg,-0.9839228295819936
(ไอพ่น - ADV),neg,-0.9832797427652733
(สนิท - VERB),neg,-0.9826366559485531
(ไอศครีม - VERB),neg,-0.9819935691318328
(เหมาะ - ADV),neg,-0.9813504823151126
(เมตร - ADV),neg,-0.9807073954983923
(แข่งขัน - VERB),neg,-0.980064308681672
(โทร - VERB),neg,-0.9794212218649517
(กำไร - VERB),neg,-0.9787781350482315
(btw - VERB),neg,-0.9781350482315112
(ยิง - VERB),neg,-0.977491961414791
(ยัก - VERB),neg,-0.9768488745980708
(ริบเบียน - VERB),neg,-0.9762057877813505
(จำนวน จำกัด - VERB),neg,-0.9755627009646303
(ฉวย - ADJ),neg,-0.97491961414791
(beachfullof - VERB),neg,-0.9742765273311897
